Pernambuco | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2025],Popula&ccedil;&atilde;o no &uacute;ltimo censo - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2025],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2022],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2023],
Brejinho,2602506,breijinhense,GILSOMAR BENTO DA COSTA,106.066,7720,72.80,8033,99.75,0.574,32.97,65334303.99,81131351.87,12394.13,
Brejo da Madre de Deus,2602605,brejense,ROBERTO ABRAHAM ABRAHAMIAN ASFORA,761.824,48648,63.81,51308,99.08,0.562,21.05,226327535.27,221369099.69,10895.98,
Buenos Aires,2602704,buenairense,HENRIQUE JOSE QUEIROZ COSTA,93.187,12808,137.44,13276,99.68,0.593,14.93,79391439.56,78677918.68,12743.34,
Bu&iacute;que,2602803,buiquense,T&Uacute;LIO HENRIQUE ARA&Uacute;JO CAVALCANTI,1295.821,52097,38.98,53489,97.67,0.527,16.19,248734097.75,232399641.11,12420.36,
Cabo de Santo Agostinho,2602902,cabense,LUIZ CABRAL DE OLIVEIRA FILHO,445.386,203440,456.77,218049,98.01,0.686,10.87,1391194493.1,1224966866.72,78144.03,
Cabrob&oacute;,2603009,cabroboense,ELIOENAI DIAS SANTOS FILHO,1658.617,30294,18.26,31762,98.61,0.623,23.26,175862578.16,175361790.42,17699.04,
Cachoeirinha,2603108,cachoeirinhense,ANDR&Eacute; PEDRO VALEN&Ccedil;A DE MELO RAIMUNDO,179.262,19899,111.01,20673,97.84,0.579,16.78,97623401.35,86664337.97,14590.61,
Caet&eacute;s,2603207,caeteense,NIVALDO DA SILVA MARTINS,294.946,28827,97.74,30571,99.49,0.522,22.78,150770952.61,134200382.18,17456.27,
Cal&ccedil;ado,2603306,cal&ccedil;adense,JOS&Eacute; ELIAS MACENA DE LIMA FILHO,121.434,11093,90.97,11453,99.69,0.566,8.77,64489382.31,67899521.87,12123.72,
Calumbi,2603405,calumbiense,ERIVALDO JOSE DA SILVA,179.314,5228,29.16,5354,99.41,0.571,-,53003933.51,53280473.21,11906.83,
Camaragibe,2603454,camaragibense,DIEGO DA ROCHA CABRAL,51.321,147771,2879.35,156112,96.76,0.692,15.06,622917947.46,551441283.61,16488.7,
Camocim de S&atilde;o F&eacute;lix,2603504,camociense ou camocinense,SOSTENES RUBANO NEVES PONTES,72.01,17419,241.90,18018,95.95,0.588,18.35,90864968.27,82384874.37,12012.54,
Camutanga,2603603,camutanguense,TALITA CARDOZO FONSECA,39.116,7750,198.13,7962,99.78,0.606,10.64,66583613.27,59319291.95,55160.67,
Canhotinho,2603702,canhotinhense,SANDRA REJANE LOPES DE BARROS,422.831,24329,57.49,25103,98.84,0.541,18.52,134530927.85,122660008.22,14993.26,
Capoeiras,2603801,capoeirense,JOAQUIM COSTA TEIXEIRA,337.108,18338,54.39,18854,100,0.549,16,126735542.46,111319629.33,14449.64,
Carna&iacute;ba,2603900,carnaibano,WAMBERG ANTONIO GOMES AMARAL,432.134,18644,43.58,19533,99.28,0.583,4.46,129006624.16,119935223.6,11259.91,
Carnaubeira da Penha,2603926,carnaubeirense,ELIZIO SOARES FILHO,1004.248,12239,12.18,12712,97.71,0.573,32.13,65395235.41,64216500.64,8747.39,
Carpina,2604007,carpinense,MARIA EDUARDA BAIMA TEIXEIRA GOUVEIA,146.494,79293,539.35,83482,99.18,0.680,9.99,330355282.08,298341247.88,24434.32,
Caruaru,2604106,caruaruense,RODRIGO ANSELMO PINHEIRO DOS SANTOS,919.069,378048,409.52,405408,97.41,0.677,12.64,1547948338.88,1572871614.23,29738.31,
Casinhas,2604155,casinhense,JULIANA BARBOSA DA SILVA AGUIAR,116.833,12967,111.91,13468,99.36,0.567,5.88,109568394.36,97033488.2,9576.23,
Catende,2604205,catendense,GRACINA MARIA RAMOS BRAZ DA SILVA,208.594,32156,154.16,33086,98.4,0.609,10.02,151884422.71,142684210.44,12130.7,
Cedro,2604304,cedrense,MARIA RIVA BEZERRA RODRIGUES,148.746,10518,70.71,10843,98.9,0.615,13.79,69193184.58,62938354.58,12697.71,
Ch&atilde; de Alegria,2604403,alegriense,MARCOS GOMES DO AMARAL,49.328,12984,263.22,13496,98.82,0.604,5.52,85360440.93,74042802.44,14654.39,
Ch&atilde; Grande,2604502,ch&atilde;-grandense,SANDRO CORREA DOS SANTOS,84.787,20546,242.32,21258,97.59,0.599,3.7,154825096.33,149274220.13,15824.43,
Condado,2604601,condadense,SEVERINO ALBINO DA SILVA FILHO,89.645,24587,274.27,25416,99.41,0.602,12.58,124278002.09,129324575.03,11997.67,
Correntes,2604700,correntense,EDIMILSON DA BAHIA DE LIMA GOMES,317.793,17131,53.91,17670,99.77,0.536,5.05,88860599.46,94656389.62,12368.22,
Cort&ecirc;s,2604809,cortesense,MARIA DE FATIMA CYSNEIROS SAMPAIO BORBA,103.416,10198,99.15,10426,98.97,0.568,20.55,80861151.62,77160500.11,14268.17,
Cumaru,2604908,cumaruense,MARIA ZENEIDE MEDEIROS DA COSTA,291.429,15920,54.48,16215,98.83,0.572,12.99,109093952.06,100074293.18,10334.2,
Cupira,2605004,cupirense,EDUARDO DA FONSECA LIRA,95.149,23518,247.15,24343,98.07,0.592,12.38,142621275.22,127483103.92,15129.21,
Cust&oacute;dia,2605103,custodiense,MANOEL MESSIAS DE SOUZA,1382.059,37699,26.85,39609,99.07,0.594,17.06,211493750.36,204305167.14,20394.93,
Dormentes,2605152,dormentense,MARIA DO SOCORRO COELHO DE SOUSA,1543.723,17188,11.17,17850,99.48,0.589,25.38,117639910.31,118640651.02,18143.7,
Escada,2605202,escadense,MARIA JOS&Eacute; FIDELIS MOURA GOUVEIA,342.156,59891,174.82,62174,99.3,0.632,12.14,241993875.76,283811486.27,26428.1,
Exu,2605301,exuense,JOS&Eacute; PINTO SARAIVA J&Uacute;NIOR,1336.786,31843,23.82,33486,97.81,0.576,7.92,182958399.24,171965971.92,13827.69,
Feira Nova,2605400,feira-novense,JOEL CANDIDO GONZAGA,107.726,21427,198.90,22222,97.86,0.600,7.07,120076307.85,114283353.56,12812.92,
Fernando de Noronha,2605459,noronhense,GUILHERME CAVALCANTI DA ROCHA LEIT&Atilde;O,18.609,3167,170.19,3341,98.85,0.788,-,-,-,96281.45,
Ferreiros,2605509,ferreirense,JOSE ROBERTO DE OLIVEIRA,92.516,15026,162.42,15955,98.98,0.622,-,68640317.6,61830573.71,11408.4,
Flores,2605608,florense,CICERO GILBERTO CAVALCANTI RIBEIRO,995.561,20347,20.44,20776,99.63,0.556,9.57,121832608.14,123868824.62,12074.47,
Floresta,2605707,florestano,ROSANGELA DE MOURA MANI&Ccedil;OBA NOVAES FERRAZ,3637.243,30137,8.36,31702,98.93,0.626,18.29,169055107.74,171334450.49,19397.34,
Frei Miguelinho,2605806,frei-miguelinhense,JOS&Eacute; LINDONALDO DE FRAN&Ccedil;A,213.735,13636,64.11,14055,98.82,0.576,19.87,74669347.68,65482884.48,11119.96,
Gameleira,2605905,gameleirense,LEANDRO RIBEIRO GOMES DE LIMA,257.781,18214,70.66,17583,98.88,0.602,8.26,126483283.61,105985482.58,13626.02,
Garanhuns,2606002,garanhuense,SIVALDO RODRIGUES ALBINO,458.964,142506,310.77,151803,98.72,0.664,10.12,633552654.6,620186950.87,26904.81,
Gl&oacute;ria do Goit&aacute;,2606101,gloriense,JAIME DE LIMA GOMES SOBRINHO,234.486,29347,125.04,30420,98.32,0.604,8.72,152545171.3,137876047.26,21652.86,
Goiana,2606200,goianense,EDUARDO BATISTA,445.406,81055,181.98,85497,97.53,0.651,17.18,862258577.67,940108578.16,171409.82,
Granito,2606309,granitense,GEORGE WASHINGTON PEREIRA ALENCAR,521.69,6967,13.35,7217,99.37,0.595,-,57401469.9,55666822.13,13071.72,
Gravat&aacute;,2606408,gravataense,JOSELITO GOMES DA SILVA,507.36,86516,170.52,92429,99.1,0.634,11.63,339673848.65,330383043.96,18929.95,
Iati,2606507,iatiense,CAMILA APARECIDA TENORIO SOUTO DE SOUZA,635.137,17165,27.03,17570,97.88,0.528,18.73,117711681.81,118698057.44,13749.65,
Ibimirim,2606606,ibimiriense,JOS&Eacute; WELLITON DE MELO SIQUEIRA,1929.342,26593,14.13,28825,96.23,0.552,21.45,136509777.05,128191887.7,15554.55,
Ibirajuba,2606705,ibirajubense,MARIA IZALTA SILVA LOPES GAMA,189.596,7140,37.66,7334,98.96,0.580,9.9,63050909.11,64815757.73,13886.95,
Igarassu,2606804,igarassuense ou igarassuano,ELCIONE DA SILVA RAMOS PEDROZA BARBOSA,306.879,115196,375.38,123017,98.11,0.665,13.59,501348092.55,485549756.96,32733.92,
Iguaracy,2606903,iguaraciense,PEDRO ALVES DE OLIVEIRA NETO,836.046,11081,13.22,11347,99.05,0.598,35.09,85405956.47,83910059.22,11038.88,
Inaj&aacute;,2607000,inajaense,MARCELO MACHADO FREIRE,1240.961,25603,20.79,27758,97.57,0.523,17.65,143994379.32,135004214.53,10730.55,
Ingazeira,2607109,ingazeirense,LUCIANO TORRES MARTINS,243.858,4765,19.56,4975,99.09,0.608,-,46458945.05,45204714.34,13696.73,
Ipojuca,2607208,ipojuquense ou ipojucanos,CARLOS JOS&Eacute; DE SANTANA,521.801,98932,189.60,106539,98.76,0.619,8.78,1911882415.2,1707189429.54,181663.4,
Ipubi,2607307,ipubiense,JO&Atilde;O MARCOS SIQUEIRA TORRES,693.915,29009,41.80,30720,97.25,0.550,11.9,175766843.45,172422339.76,14220.94,
Itacuruba,2607406,itacurubense,OLEGARIO JUNIOR CANTARELLI,436.528,4284,9.96,4491,100,0.595,13.33,53637164.94,48265487.86,18940.7,
Ita&iacute;ba,2607505,itaibense,PEDRO TEOT&Ocirc;NIO DA SILVA NETO,1034.044,32650,30.75,33995,98.53,0.510,15.46,142550031.51,142795450.65,12345.37,
Ilha de Itamarac&aacute;,2607604,itamaracaense,PAULO FERNANDO PIMENTEL GALV&Atilde;O,66.146,24540,371.00,25658,99.67,0.653,20,112795937.29,102085473.98,12155.46,
Itamb&eacute;,2607653,itambeense,ARMANDO PIMENTEL DA ROCHA,304.005,34935,114.92,36652,98.86,0.575,13.59,144248909.42,151583532.61,16797.56,
Itapetim,2607703,itapetinense,ALINE KARINA ALVES DA COSTA,411.875,13791,33.48,14236,98.01,0.592,17.44,97001525.3,96207781.69,12346.4,
Itapissuma,2607752,itapissumense,VALDEMIR LOUREN&Ccedil;O DOS SANTOS J&Uacute;NIOR,73.968,27749,375.15,29669,98.06,0.633,8.22,211797460.98,193851101.7,117432.13,
Itaquitinga,2607802,itaquitinguense,PATRICK JOSE DE OLIVEIRA MORAES,162.739,16554,101.72,17142,98.69,0.586,11.76,89209018.88,77331180.18,13486.13,
Jaboat&atilde;o dos Guararapes,2607901,jaboat&atilde;oense,LUIZ JOS&Eacute; INOJOSA DE MEDEIROS,258.724,644037,2489.28,684293,97.61,0.717,13.41,2398315215.42,2244393765.98,31490.89,
Jaqueira,2607950,jaqueirense,RIDETE CELLIBE PELLEGRINO DE MACEDO OLIVEIRA,87.208,10247,117.50,10440,97.72,0.575,13.51,76761793.17,69042137.65,12621.62,
Jata&uacute;ba,2608008,jataubense,C&Aacute;TIA JUNSARA RODRIGUES AQUILINO,714.601,15843,22.17,16328,98.82,0.530,19.61,112198672.29,96060877.09,12143.17,
Jatob&aacute;,2608057,jatobaense,ROG&Eacute;RIO FERREIRA GOMES DA SILVA,277.862,14020,50.46,14477,99.05,0.645,11.24,81534519.41,75149940.78,13096.55,
Jo&atilde;o Alfredo,2608107,alfredense,JOS&Eacute; ANTONIO MARTINS DA SILVA,134.147,27725,206.68,28842,99.55,0.576,22.58,155257829.09,149093331.99,12799.96,
Joaquim Nabuco,2608206,nabuquense,MARCIA ROBERTA BARRETO,122.605,13269,108.24,13416,99.8,0.554,-,79007610.3,76843632.14,12396.63,
Jucati,2608255,jucatiense,CLELSON LUIS APARECIDO DE MELO,120.167,11517,95.56,12023,99.49,0.550,6.9,91426876.26,86375484.32,12396,
Jupi,2608305,jupiense,RIVANDA MARIA FREIRE LIMA TEIXEIRA,104.835,15329,146.22,16022,99.72,0.575,12.45,132421582.8,142769517.11,16123.02,
Jurema,2608404,juremense,EDVALDO MARCOS RAMOS FERREIRA,148.254,13648,92.06,14002,99.13,0.509,16.95,96937075.56,89891769.61,10709.68,
Lagoa do Carro,2608453,lagoense do carro,JOSE LUIZ ALVES DE AMORIM,69.244,17981,258.10,18804,97.55,0.609,28.44,107023057.71,99085247.32,18237.1,
Lagoa de Itaenga,2608503,itaenguense,DIMAS CAETANO DE SOUSA,57.298,19003,338.55,19863,98.86,0.602,20.41,123147699.49,114445943.77,28356.16,
Lagoa do Ouro,2608602,lagoa-do-ourense,EDSON LOPES CAVALCANTE,199.996,11933,60.04,12367,99.38,0.525,6.99,100014519.01,98178836.99,12531.75,
Lagoa dos Gatos,2608701,lagoense,ST&Ecirc;NIO FERNANDES DE ALBUQUERQUE,224.948,14076,62.57,14333,98.72,0.551,18.63,89622687.83,76302967.28,11994.23,
Lagoa Grande,2608750,lagoa-grandense,ANA CATHARINA GARZIERA MORENO,1844.506,24088,13.02,24951,97.59,0.597,14.37,175289740.64,166361095.04,29625.07,
Lajedo,2608800,lajedense,ERIVALDO RODRIGUES AMORIM,189.096,39582,209.32,41960,96.88,0.611,17.94,204088041.96,199062506.31,17848.19,
Limoeiro,2608909,limoeirense,ORLANDO JORGE PEREIRA DE ANDRADE LIMA,273.733,56510,206.44,59236,98.61,0.663,18.75,273252538.68,230633686.26,17539.2,
Macaparana,2609006,macaparanense,PAULO BARBOSA DA SILVA,108.049,23879,221.00,24642,98.56,0.609,9.46,136466664.6,133972108.79,15042.83,
Machados,2609105,machadense,JUAREZ RODRIGUES FERNANDES,58.32,11333,183.92,11387,98.51,0.578,13.51,96161674.47,87781346.29,24079.62,
Manari,2609154,manariense,AUDALIO MARTINS DA SILVA JUNIOR,386.57,23763,68.94,27046,98.68,0.487,15.09,113756412.99,111378465.03,7201.7,
Maraial,2609204,maraialense,MARLOS HENRIQUE CAVALCANTI,199.865,9359,46.83,9322,98.5,0.534,25.32,65015065.29,58007547.63,11758.2,
Mirandiba,2609303,mirandibense,EVALDO BEZERRA DE CARVALHO,821.676,14166,17.24,14605,97.26,0.591,13.64,89285940.01,83209682.58,15615.35,
Moreno,2609402,morenense,EDMILSON CUPERTINO DE ALMEIDA,194.197,55292,284.72,57654,98.49,0.652,19.85,223175839.6,225475348.06,20225.51,
Nazar&eacute; da Mata,2609501,nazareno,ADRIANA ANDRADE LIMA VASCONCELOS COUTINHO,130.572,30648,234.72,32187,99.46,0.662,9.9,120855761.99,121227992.48,25355.24,
Olinda,2609600,olindense,MIRELLA FERNANDA BEZERRA DE ALMEIDA,41.3,349976,8474.00,364717,98.28,0.735,11.53,1165401241.51,1147475096.23,20072.57,
Orob&oacute;,2609709,orobense,SEVERINO LUIZ PEREIRA DE ABREU,138.362,21808,157.43,22412,99.77,0.610,3.91,151482453.83,138012894.06,26686.96,
Oroc&oacute;,2609808,orocoense,ISMAEL FERNANDES BIONE LIRA,554.759,13613,24.54,14129,98.44,0.610,-,95361853.54,91261318.67,14126.88,
Ouricuri,2609907,ouricuriense,FRANCISCO VICTOR RAMOS COELHO,2381.568,65245,27.40,68489,98.64,0.572,21.76,243759553.61,267432401.6,15582.86,
Palmares,2610004,palmarense,JOS&Eacute; BARTOLOMEU DE ALMEIDA MELO JUNIOR,339.388,54584,160.82,56475,98.78,0.622,7.83,373446010.96,335026654.38,21179.32,
Palmeirina,2610103,palmeirinense,THATIANNE PINTO MACEDO LIMA,169.012,7031,41.65,7104,99.69,0.549,-,54915280.82,52253412.19,12992.35,
Panelas,2610202,panelense,RUBEN DE LIMA BARBOSA,380.428,22991,60.43,23337,98.96,0.569,12.46,144059207.2,154154841.35,10436.5,
Paranatama,2610301,paranatamense,HENRIQUE DE OLIVEIRA GOIS,185.371,12199,65.81,12778,98.73,0.537,8.77,84471495.54,90537394.01,25113.83,
Parnamirim,2610400,parnamirinense,LUCELIO MUCIO MOURA ANGELIM,2609.55,18612,7.13,18960,98.35,0.599,12.61,118892552.42,119794165.96,14407.69,
Passira,2610509,passirense,SEVERINO SILVESTRE DE ALBUQUERQUE,327.21,28340,86.61,29744,98.83,0.592,18.13,149998804.41,134316430.66,10356.4,
Paudalho,2610608,paudalhense,PAULA FRASSINETTE WANDERLEY MARINHO,269.65,56665,210.14,59924,97.69,0.639,11.17,296667105.59,289229606.41,20329.67,
Paulista,2610707,paulistense,SEVERINO RAMOS DE SANTANA,96.932,342167,3529.97,365144,98.56,0.732,17.49,915910828.39,961288452.64,20454.96,
Pedra,2610806,pedrense,GILBERTO J&Uacute;NIOR WANDERLEY VAZ,922.482,22795,24.71,23671,99.02,0.567,24.05,116783449.32,105574687.81,18689.87,
Pesqueira,2610905,pesqueirense,MARCOS LUIDSON DE ARA&Uacute;JO,970.438,62722,65.33,65481,97.19,0.610,9.31,281305769.09,256768295.24,17283.89,
Petrol&acirc;ndia,2611002,petrolandense,FABIANO JAQUES MARQUES,1056.589,34161,32.33,36104,98.72,0.623,14.23,236013940.77,207616947.45,45917.95,
Petrolina,2611101,petrolinense,SIM&Atilde;O AMORIM DURANDO FILHO,4558.905,386791,84.79,418444,98.29,0.697,14.28,1693739255.63,1640615205.35,27346.89,
Po&ccedil;&atilde;o,2611200,po&ccedil;&atilde;oense,JOAO GUILHERME VASCONCELOS DE SOUSA,205.118,10500,51.19,10792,98.13,0.528,22.9,68446558.62,57964245.07,12648.33,
Pombos,2611309,pomboense,ELIAS BATISTA DE LIMA,203.105,27552,114.88,26942,98.45,0.598,9.74,134926381.08,118649021.34,24970.36,
Primavera,2611408,primaverense,JEYSON CAVALCANTI DE ALMEIDA FALC&Atilde;O,113.563,13838,122.31,14380,99.72,0.580,7.09,73314605.91,64717166.57,23121.83,
Quipap&aacute;,2611507,quipapaense,GENIVALDO TEMOTEO BEZERRA,230.617,17928,77.74,17731,100,0.552,13.64,100302977.47,97896776.99,11795.13,
Quixaba,2611533,quixabense,JOSE PEREIRA NUNES,210.705,6554,31.11,6753,100,0.577,-,63193656.36,57124716.56,11581,
Recife,2611606,recifense,JO&Atilde;O HENRIQUE DE ANDRADE LIMA CAMPOS,218.843,1488920,6803.60,1588376,97.57,0.772,12.32,9506737206.76,9424050396.32,44563.38,
Riacho das Almas,2611705,riachense,DIOCLECIO ROSENDO DE LIMA FILHO,313.613,20639,65.73,21490,99.53,0.570,7.04,130143091.55,111324461.55,14017.1,
Ribeir&atilde;o,2611804,ribeir&atilde;oense,ANA CAROLINA COELHO JORD&Atilde;O,289.566,33507,115.71,33843,98.41,0.602,10.13,183278146.83,187801121.26,17955.92,
Rio Formoso,2611903,rio-formosense,GUTEMBERG ALEXANDRE RODRIGUES DA SILVA,227.458,20009,87.97,20388,99.59,0.613,16.72,129629386.92,119049657.88,18718.84,
Sair&eacute;,2612000,saireense,GILDO PONTES DE ARRUDA,190.454,10887,57.16,11213,97.21,0.585,-,75250823.46,61729566.53,18756.25,
Salgadinho,2612109,salgadinense,JEOSADAQUE BARBOSA SALGADO,87.218,5727,65.66,5478,99.13,0.534,17.86,48695104.21,47957557.94,13378.54,
Salgueiro,2612208,salgueirense,F&Aacute;BIO LISANDRO DE LIMA BARROS,1678.562,62372,37.16,65946,99.03,0.669,17.47,287164938.29,266989153.71,22285.15,
Salo&aacute;,2612307,saloaense,RIVALDO ALVES DE SOUZA JUNIOR,251.55,13836,55.00,14125,99.26,0.559,18.63,96781252.02,93736904.18,18202.84,
Sanhar&oacute;,2612406,sanharoense,C&Eacute;SAR AUGUSTO DE FREITAS,268.065,18624,69.48,18812,99.48,0.603,7.52,119255610.86,110561339.31,14480.97,
Santa Cruz,2612455,santacruzense,ADEGILDO GUIMARAES SOARES,1246.181,13841,11.11,14342,99.37,0.549,13.95,105359814.53,99054164.44,11279.91,
Santa Cruz da Baixa Verde,2612471,santacruzense,ISMAEL QUINTINO LEITE DE SOUSA,114.931,11567,100.64,11934,92.2,0.612,-,72868781.91,74809699.1,12425.3,
Santa Cruz do Capibaribe,2612505,santa-cruzense,HELIO LIMA ARAGAO FILHO,335.309,98254,293.03,104854,98.18,0.648,19.08,469714600.43,423796083.21,21634.69,
Santa Filomena,2612554,filomense,PEDRO GILDEVAN COELHO MELO,1004.561,12106,12.04,12360,97.63,0.533,6.1,77210279.78,67464273.21,10998.68,
Santa Maria da Boa Vista,2612604,boa-vistense,GEORGE RODRIGUES DUARTE,3000.773,40578,13.52,42782,98.82,0.590,10.07,216942477.7,213144027.69,19268.89,
Santa Maria do Cambuc&aacute;,2612703,santa-mariense,ALEX ROBEVAN DE LIMA,92.148,14013,152.07,14586,98.27,0.548,6.62,70856572.58,67512004.45,10806.76,
Santa Terezinha,2612802,santa-terezinhense,ADEILSON LUSTOSA DA SILVA,200.327,10244,51.14,10487,100,0.593,24.19,75822001.54,70249166.84,11981.54,
S&atilde;o Benedito do Sul,2612901,s&atilde;o-beneditense,JOS&Eacute; RINALDO DE FIGUEREDO LOPES,160.477,13113,81.71,13456,93.18,0.530,-,72746326.39,62959601.32,9843.38,
S&atilde;o Bento do Una,2613008,s&atilde;o-bentense,PEDRO ALEXANDRE MEDEIROS DE SOUZA,719.193,49449,68.76,51165,98.23,0.593,7.04,244110269.22,222498240.39,38668.79,
S&atilde;o Caitano,2613107,s&atilde;o-caitanense,JOSAFA ALMEIDA LIMA,382.483,37126,97.07,39243,98.46,0.591,14.23,170950765.04,151819655.74,15514.24,
S&atilde;o Jo&atilde;o,2613206,s&atilde;o-joanense,JOSE WILSON FERREIRA DE LIMA,258.443,23837,92.21,24895,99.32,0.570,30.96,134598743.41,132500488.42,15719.3,
S&atilde;o Joaquim do Monte,2613305,s&atilde;o-joaquinense,EDUARDO JOS&Eacute; DE OLIVEIRA LINS,224.624,20037,88.12,20438,99.13,0.537,17.18,123109003.04,109056238.68,13015.58,
